step,sim_time_s,px_m,py_m,pz_m,qw,qx,qy,qz,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,local_x_m,local_y_m,local_z_m
1,0.041667,0.000000000,0.000000000,0.459781229,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.408750027,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.259781229
2,0.050000,0.000000000,0.000000000,0.455693722,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.490500033,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.255693722
3,0.058333,0.000000000,0.000000000,0.450924963,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.572250009,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250924963
4,0.066667,0.000000000,0.000000000,0.445474952,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.654000044,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.245474952
5,0.075000,0.000000000,0.000000000,0.439343691,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.735750079,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.239343691
6,0.083333,0.000000000,0.000000000,0.432531178,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.817500114,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.232531178
7,0.091667,0.000000000,0.000000000,0.425037414,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.899250150,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.225037414
8,0.100000,0.000000000,0.000000000,0.416862398,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.981000185,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.216862398
9,0.108333,0.000000000,0.000000000,0.408006132,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.062750220,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.208006132
10,0.116667,0.000000000,0.000000000,0.398468643,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.144500256,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.198468643
11,0.125000,0.000000000,0.000000000,0.388249904,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.226250291,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.188249904
12,0.133333,0.000000000,0.000000000,0.377349913,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.308000326,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.177349913
13,0.141667,0.000000000,0.000000000,0.365768671,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.389750361,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.165768671
14,0.150000,0.000000000,0.000000000,0.353506178,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.471500397,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.153506178
15,0.158333,0.000000000,0.000000000,0.340562433,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.553250432,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.140562433
16,0.166667,0.000000000,0.000000000,0.326937437,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.635000467,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.126937437
