step,sim_time_s,px_m,py_m,pz_m,qw,qx,qy,qz,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,local_x_m,local_y_m,local_z_m
29,0.533333,-0.000001165,-0.000001501,0.224999994,0.999999940,0.000015573,-0.000010734,0.000000149,0.000106515,-0.000062379,-0.000212269,0.008407431,0.001077235,-0.000020392,-0.000001165,-0.000001501,0.024999994
30,0.550000,-0.000001164,-0.000001501,0.224999994,1.000000000,0.000015587,-0.000010757,0.000000178,0.000106526,-0.000062359,-0.000212302,0.008407939,0.001077378,-0.000020441,-0.000001164,-0.000001501,0.024999994
31,0.566667,-0.000001165,-0.000001501,0.224999994,1.000000000,0.000015419,-0.000010803,0.000000159,0.000106473,-0.000062408,-0.000212292,0.008408764,0.001076318,-0.000020437,-0.000001165,-0.000001501,0.024999994
32,0.583333,-0.000001165,-0.000001503,0.224999994,1.000000000,0.000015352,-0.000010733,0.000000171,0.000106491,-0.000062417,-0.000212278,0.008408556,0.001076810,-0.000020391,-0.000001165,-0.000001503,0.024999994
33,0.600000,-0.000001164,-0.000001501,0.224999994,0.999999940,0.000015608,-0.000010765,0.000000173,0.000106620,-0.000062280,-0.000212289,0.008406289,0.001079218,-0.000020410,-0.000001164,-0.000001501,0.024999994
34,0.616667,-0.000001164,-0.000001501,0.224999994,1.000000000,0.000015624,-0.000010785,0.000000179,0.000106520,-0.000062356,-0.000212298,0.008407824,0.001077363,-0.000020448,-0.000001164,-0.000001501,0.024999994
35,0.633333,-0.000001164,-0.000001501,0.224999994,1.000000000,0.000015309,-0.000010713,0.000000184,0.000106469,-0.000062412,-0.000212295,0.008409056,0.001076117,-0.000020442,-0.000001164,-0.000001501,0.024999994
36,0.650000,-0.000001164,-0.000001501,0.224999994,0.999999940,0.000015565,-0.000010744,0.000000161,0.000106518,-0.000062379,-0.000212271,0.008407691,0.001077282,-0.000020396,-0.000001164,-0.000001501,0.024999994
37,0.666667,-0.000001165,-0.000001500,0.224999994,1.000000000,0.000015577,-0.000010764,0.000000166,0.000106494,-0.000062355,-0.000212290,0.008407723,0.001076523,-0.000020475,-0.000001165,-0.000001500,0.024999994
38,0.683333,-0.000001165,-0.000001502,0.224999994,1.000000000,0.000015434,-0.000010785,0.000000170,0.000106455,-0.000062461,-0.000212290,0.008409779,0.001076128,-0.000020397,-0.000001165,-0.000001502,0.024999994
39,0.700000,-0.000001164,-0.000001503,0.224999994,0.999999940,0.000015531,-0.000010719,0.000000174,0.000106588,-0.000062342,-0.000212299,0.008407594,0.001078987,-0.000020384,-0.000001164,-0.000001503,0.024999994
40,0.716667,-0.000001163,-0.000001500,0.224999994,1.000000000,0.000015561,-0.000010722,0.000000168,0.000106590,-0.000062279,-0.000212302,0.008406484,0.001078489,-0.000020460,-0.000001163,-0.000001500,0.024999994
41,0.733333,-0.000001166,-0.000001503,0.224999994,1.000000000,0.000015392,-0.000010769,0.000000170,0.000106314,-0.000062553,-0.000212257,0.008410593,0.001073199,-0.000020426,-0.000001166,-0.000001503,0.024999994
42,0.750000,-0.000001165,-0.000001502,0.224999994,0.999999940,0.000015653,-0.000010792,0.000000172,0.000106622,-0.000062286,-0.000212301,0.008406574,0.001079213,-0.000020404,-0.000001165,-0.000001502,0.024999994
43,0.766667,-0.000001163,-0.000001501,0.224999994,1.000000000,0.000015524,-0.000010694,0.000000168,0.000106559,-0.000062337,-0.000212313,0.008407950,0.001077960,-0.000020435,-0.000001163,-0.000001501,0.024999994
44,0.783333,-0.000001164,-0.000001502,0.224999994,0.999999940,0.000015536,-0.000010723,0.000000173,0.000106478,-0.000062402,-0.000212288,0.008408291,0.001076471,-0.000020430,-0.000001164,-0.000001502,0.024999994
45,0.800000,-0.000001163,-0.000001501,0.224999994,1.000000000,0.000015569,-0.000010725,0.000000155,0.000106535,-0.000062353,-0.000212296,0.008407938,0.001077402,-0.000020429,-0.000001163,-0.000001501,0.024999994
46,0.816667,-0.000001164,-0.000001502,0.224999994,1.000000000,0.000015399,-0.000010774,0.000000159,0.000106474,-0.000062406,-0.000212290,0.008408814,0.001076143,-0.000020442,-0.000001164,-0.000001502,0.024999994
47,0.833333,-0.000001164,-0.000001502,0.224999994,0.999999940,0.000015512,-0.000010681,0.000000161,0.000106509,-0.000062384,-0.000212278,0.008407927,0.001077078,-0.000020407,-0.000001164,-0.000001502,0.024999994
48,0.850000,-0.000001164,-0.000001501,0.224999994,1.000000000,0.000015521,-0.000010715,0.000000166,0.000106532,-0.000062355,-0.000212291,0.008407849,0.001077381,-0.000020430,-0.000001164,-0.000001501,0.024999994
49,0.866667,-0.000001165,-0.000001503,0.224999994,1.000000000,0.000015369,-0.000010745,0.000000168,0.000106431,-0.000062449,-0.000212274,0.008409024,0.001075499,-0.000020426,-0.000001165,-0.000001503,0.024999994
50,0.883333,-0.000001163,-0.000001501,0.224999994,0.999999940,0.000015629,-0.000010775,0.000000159,0.000106659,-0.000062264,-0.000212300,0.008406313,0.001080065,-0.000020389,-0.000001163,-0.000001501,0.024999994
51,0.900000,-0.000001163,-0.000001501,0.224999994,1.000000000,0.000015496,-0.000010675,0.000000177,0.000106479,-0.000062378,-0.000212295,0.008408236,0.001076132,-0.000020467,-0.000001163,-0.000001501,0.024999994
52,0.916667,-0.000001164,-0.000001501,0.224999994,0.999999940,0.000015506,-0.000010708,0.000000158,0.000106483,-0.000062402,-0.000212288,0.008408365,0.001076678,-0.000020427,-0.000001164,-0.000001501,0.024999994
53,0.933333,-0.000001164,-0.000001501,0.224999994,1.000000000,0.000015537,-0.000010714,0.000000163,0.000106535,-0.000062353,-0.000212296,0.008407695,0.001077505,-0.000020429,-0.000001164,-0.000001501,0.024999994
54,0.950000,-0.000001165,-0.000001500,0.224999994,0.999999940,0.000015548,-0.000010736,0.000000167,0.000106445,-0.000062402,-0.000212278,0.008408532,0.001075391,-0.000020464,-0.000001165,-0.000001500,0.024999994
55,0.966667,-0.000001164,-0.000001502,0.224999994,0.999999940,0.000015402,-0.000010767,0.000000160,0.000106508,-0.000062431,-0.000212298,0.008409381,0.001077299,-0.000020371,-0.000001164,-0.000001502,0.024999994
