step,sim_time_s,px_m,py_m,pz_m,qw,qx,qy,qz,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps
14,0.083333,0.000000000,0.000000000,0.464234382,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.817500234,0.000000000,0.000000000,0.000000000
15,0.087500,0.000000000,0.000000000,0.460657805,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.858375251,0.000000000,0.000000000,0.000000000
16,0.091667,0.000000000,0.000000000,0.456910938,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.899250269,0.000000000,0.000000000,0.000000000
17,0.095833,0.000000000,0.000000000,0.452993751,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.940125287,0.000000000,0.000000000,0.000000000
18,0.100000,0.000000000,0.000000000,0.448906243,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.981000304,0.000000000,0.000000000,0.000000000
19,0.104167,0.000000000,0.000000000,0.444648415,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.021875262,0.000000000,0.000000000,0.000000000
20,0.108333,0.000000000,0.000000000,0.440220296,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.062750220,0.000000000,0.000000000,0.000000000
21,0.112500,0.000000000,0.000000000,0.435621858,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.103625178,0.000000000,0.000000000,0.000000000
22,0.116667,0.000000000,0.000000000,0.430853099,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.144500136,0.000000000,0.000000000,0.000000000
23,0.120833,0.000000000,0.000000000,0.425914049,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.185375094,0.000000000,0.000000000,0.000000000
24,0.125000,0.000000000,0.000000000,0.420804679,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.226250052,0.000000000,0.000000000,0.000000000
25,0.129167,0.000000000,0.000000000,0.415524989,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.267125010,0.000000000,0.000000000,0.000000000
26,0.133333,0.000000000,0.000000000,0.410074979,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.307999969,0.000000000,0.000000000,0.000000000
27,0.137500,0.000000000,0.000000000,0.404454678,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.348874927,0.000000000,0.000000000,0.000000000
28,0.141667,0.000000000,0.000000000,0.398664057,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.389749885,0.000000000,0.000000000,0.000000000
29,0.145833,0.000000000,0.000000000,0.392703116,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.430624843,0.000000000,0.000000000,0.000000000
30,0.150000,0.000000000,0.000000000,0.386571854,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.471499801,0.000000000,0.000000000,0.000000000
31,0.154167,0.000000000,0.000000000,0.380270302,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.512374759,0.000000000,0.000000000,0.000000000
32,0.158333,0.000000000,0.000000000,0.373798430,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.553249717,0.000000000,0.000000000,0.000000000
33,0.162500,0.000000000,0.000000000,0.367156237,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.594124675,0.000000000,0.000000000,0.000000000
34,0.166667,0.000000000,0.000000000,0.360343724,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.634999633,0.000000000,0.000000000,0.000000000
35,0.170833,0.000000000,0.000000000,0.353360921,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.675874591,0.000000000,0.000000000,0.000000000
36,0.175000,0.000000000,0.000000000,0.346207798,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.716749549,0.000000000,0.000000000,0.000000000
37,0.179167,0.000000000,0.000000000,0.338884354,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.757624507,0.000000000,0.000000000,0.000000000
38,0.183333,0.000000000,0.000000000,0.331390619,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.798499465,0.000000000,0.000000000,0.000000000
39,0.187500,0.000000000,0.000000000,0.323726565,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.839374423,0.000000000,0.000000000,0.000000000
40,0.191667,0.000000000,0.000000000,0.315892190,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.880249381,0.000000000,0.000000000,0.000000000
41,0.195833,0.000000000,0.000000000,0.307887495,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.921124339,0.000000000,0.000000000,0.000000000
42,0.200000,0.000000000,0.000000000,0.299712509,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.961999297,0.000000000,0.000000000,0.000000000
43,0.204167,0.000000000,0.000000000,0.291367203,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.002874374,0.000000000,0.000000000,0.000000000
44,0.208333,0.000000000,0.000000000,0.282851577,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.043749332,0.000000000,0.000000000,0.000000000
45,0.212500,0.000000000,0.000000000,0.274165630,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.084624290,0.000000000,0.000000000,0.000000000
46,0.216667,0.000000000,0.000000000,0.265309393,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.125499249,0.000000000,0.000000000,0.000000000
47,0.220833,0.000000000,0.000000000,0.256282836,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.166374207,0.000000000,0.000000000,0.000000000
48,0.225000,0.000000000,0.000000000,0.247085959,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.207249165,0.000000000,0.000000000,0.000000000
49,0.229167,0.000000000,0.000000000,0.237718776,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.248124123,0.000000000,0.000000000,0.000000000
50,0.233333,0.000000000,0.000000000,0.228181273,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.288999081,0.000000000,0.000000000,0.000000000
51,0.237500,0.000000000,0.000000000,0.218473464,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.329874039,0.000000000,0.000000000,0.000000000
52,0.241667,0.000000000,0.000000000,0.208595335,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.370748997,0.000000000,0.000000000,0.000000000
53,0.245833,0.000000000,0.000000000,0.198546901,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.411623955,0.000000000,0.000000000,0.000000000
54,0.250000,0.000000000,0.000000000,0.188328162,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.452498913,0.000000000,0.000000000,0.000000000
55,0.254167,0.000000000,0.000000000,0.177939102,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.493373871,0.000000000,0.000000000,0.000000000
56,0.258333,0.000000000,0.000000000,0.167379737,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.534248829,0.000000000,0.000000000,0.000000000
57,0.262500,0.000000000,0.000000000,0.156650051,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.575123787,0.000000000,0.000000000,0.000000000
58,0.266667,0.000000000,0.000000000,0.145750061,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.615998745,0.000000000,0.000000000,0.000000000
59,0.270833,0.000000000,0.000000000,0.134679750,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.656873703,0.000000000,0.000000000,0.000000000
60,0.275000,0.000000000,0.000000000,0.123439133,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.697748661,0.000000000,0.000000000,0.000000000
61,0.279167,0.000000000,0.000000000,0.112028196,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.738623619,0.000000000,0.000000000,0.000000000
62,0.283333,0.000000000,0.000000000,0.100446954,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.779498577,0.000000000,0.000000000,0.000000000
63,0.287500,0.000000000,0.000000000,0.088695399,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.820373535,0.000000000,0.000000000,0.000000000
64,0.291667,0.000000000,0.000000000,0.076773532,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.861248493,0.000000000,0.000000000,0.000000000
65,0.295833,0.000000000,0.000000000,0.064681351,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.902123451,0.000000000,0.000000000,0.000000000
66,0.300000,0.000000000,0.000000000,0.052418858,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.942998409,0.000000000,0.000000000,0.000000000
67,0.304167,0.000000000,0.000000000,0.039986052,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.983873367,0.000000000,0.000000000,0.000000000
68,0.308333,0.000000000,0.000000000,0.027382933,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-3.024748325,0.000000000,0.000000000,0.000000000
69,0.312500,0.000001374,-0.000004163,0.019999817,0.999999940,0.000040171,0.000006103,0.000002031,0.026079351,-0.031161554,-0.003521032,0.716142654,0.524915457,0.004570100
70,0.316667,0.000051982,-0.000062706,0.019999998,1.000000000,0.000000318,0.000000531,0.000004247,0.011868340,-0.014111433,-0.000004122,0.000230984,0.000173703,0.001399589
71,0.320833,0.000051735,-0.000062689,0.020000065,0.999999940,-0.000000758,-0.000003411,0.000004279,0.000497882,-0.000285038,-0.000218096,0.010977628,0.014307418,-0.000960158
72,0.325000,0.000051882,-0.000062596,0.019999990,1.000000000,-0.000000998,-0.000000747,0.000004255,0.000072624,-0.000011529,-0.000043479,-0.001734654,0.001638332,0.000001049
73,0.329167,0.000051889,-0.000062601,0.019999994,1.000000000,-0.000001113,-0.000000764,0.000004246,0.000025803,0.000013537,-0.000052324,-0.002031158,0.000247023,0.000007872
74,0.333333,0.000051884,-0.000062597,0.019999992,0.999999940,-0.000001378,-0.000000833,0.000004239,0.000025529,0.000016716,-0.000052849,-0.002118427,0.000248127,0.000004964
75,0.337500,0.000051891,-0.000062598,0.019999996,0.999999940,-0.000001312,-0.000000516,0.000004271,0.000027886,0.000014802,-0.000053690,-0.002097055,0.000301232,0.000005187
76,0.341667,0.000051890,-0.000062600,0.019999996,1.000000000,-0.000001408,-0.000000781,0.000004248,0.000026232,0.000015603,-0.000053136,-0.002103152,0.000259596,0.000005717
77,0.345833,0.000051886,-0.000062600,0.019999994,1.000000000,-0.000001393,-0.000000872,0.000004248,0.000025533,0.000016300,-0.000053113,-0.002110254,0.000251860,0.000005717
78,0.350000,0.000051884,-0.000062599,0.019999994,1.000000000,-0.000001422,-0.000000921,0.000004234,0.000026171,0.000016006,-0.000053212,-0.002114292,0.000259226,0.000005399
79,0.354167,0.000051886,-0.000062598,0.019999996,1.000000000,-0.000001465,-0.000000751,0.000004280,0.000026665,0.000015699,-0.000053335,-0.002111511,0.000269869,0.000005276
80,0.358333,0.000051887,-0.000062600,0.019999994,1.000000000,-0.000001397,-0.000000708,0.000004279,0.000026536,0.000015540,-0.000053269,-0.002106135,0.000266092,0.000005559
81,0.362500,0.000051884,-0.000062600,0.019999994,1.000000000,-0.000001338,-0.000000861,0.000004231,0.000025830,0.000016103,-0.000053206,-0.002108717,0.000258225,0.000005693
82,0.366667,0.000051885,-0.000062599,0.019999992,1.000000000,-0.000001390,-0.000000891,0.000004239,0.000026606,0.000015796,-0.000053325,-0.002106505,0.000275532,0.000005206
83,0.370833,0.000051889,-0.000062598,0.019999996,1.000000000,-0.000001335,-0.000000556,0.000004273,0.000027277,0.000015262,-0.000053541,-0.002101702,0.000289093,0.000005243
84,0.375000,0.000051887,-0.000062600,0.019999994,0.999999940,-0.000001411,-0.000000839,0.000004238,0.000026053,0.000015752,-0.000053105,-0.002105456,0.000255753,0.000005732
85,0.379167,0.000051889,-0.000062600,0.019999998,0.999999940,-0.000001310,-0.000000549,0.000004284,0.000026726,0.000015558,-0.000053371,-0.002109649,0.000270493,0.000005406
86,0.383333,0.000051893,-0.000062599,0.019999996,1.000000000,-0.000001431,-0.000000592,0.000004271,0.000027094,0.000015447,-0.000053492,-0.002097152,0.000292528,0.000005193
87,0.387500,0.000051885,-0.000062599,0.019999992,1.000000000,-0.000001320,-0.000000796,0.000004249,0.000024878,0.000016671,-0.000052890,-0.002117642,0.000231689,0.000005873
88,0.391667,0.000051884,-0.000062599,0.019999994,0.999999940,-0.000001501,-0.000000958,0.000004237,0.000026320,0.000015837,-0.000053211,-0.002111017,0.000261887,0.000005407
89,0.395833,0.000051889,-0.000062601,0.019999998,0.999999940,-0.000001256,-0.000000548,0.000004270,0.000027230,0.000015074,-0.000053440,-0.002108553,0.000273733,0.000005439
90,0.400000,0.000051890,-0.000062601,0.019999998,1.000000000,-0.000001403,-0.000000764,0.000004244,0.000026780,0.000015460,-0.000053324,-0.002099185,0.000278654,0.000005397
91,0.404167,0.000051886,-0.000062600,0.019999992,1.000000000,-0.000001368,-0.000000879,0.000004231,0.000025363,0.000016500,-0.000052884,-0.002121196,0.000236237,0.000005477
92,0.408333,0.000051884,-0.000062599,0.019999992,1.000000000,-0.000001415,-0.000000910,0.000004242,0.000025968,0.000016159,-0.000053086,-0.002120520,0.000248665,0.000005342
93,0.412500,0.000051887,-0.000062600,0.019999994,1.000000000,-0.000001332,-0.000000596,0.000004265,0.000027224,0.000015136,-0.000053606,-0.002094513,0.000293206,0.000005515
94,0.416667,0.000051885,-0.000062601,0.019999994,0.999999940,-0.000001400,-0.000000896,0.000004240,0.000025979,0.000015950,-0.000053115,-0.002109641,0.000255067,0.000005600
95,0.420833,0.000051890,-0.000062600,0.019999996,0.999999940,-0.000001353,-0.000000545,0.000004262,0.000027285,0.000015276,-0.000053443,-0.002106235,0.000282797,0.000005125
96,0.425000,0.000051888,-0.000062601,0.019999996,1.000000000,-0.000001411,-0.000000854,0.000004237,0.000025985,0.000015856,-0.000053138,-0.002108239,0.000254663,0.000005728
97,0.429167,0.000051885,-0.000062599,0.019999994,1.000000000,-0.000001425,-0.000000921,0.000004236,0.000025728,0.000016376,-0.000053014,-0.002122669,0.000244146,0.000005309
98,0.433333,0.000051886,-0.000062598,0.019999992,1.000000000,-0.000001324,-0.000000626,0.000004270,0.000026550,0.000015834,-0.000053374,-0.002108758,0.000273993,0.000005288
99,0.437500,0.000051885,-0.000062598,0.019999994,0.999999940,-0.000001430,-0.000000888,0.000004245,0.000026222,0.000015851,-0.000053268,-0.002105440,0.000266667,0.000005567
100,0.441667,0.000051890,-0.000062600,0.019999996,0.999999940,-0.000001369,-0.000000552,0.000004267,0.000027452,0.000014973,-0.000053416,-0.002106065,0.000278806,0.000005260
101,0.445833,0.000051892,-0.000062600,0.019999998,1.000000000,-0.000001454,-0.000000633,0.000004267,0.000026654,0.000015545,-0.000053304,-0.002106800,0.000269408,0.000005448
102,0.450000,0.000051888,-0.000062599,0.019999992,1.000000000,-0.000001364,-0.000000816,0.000004242,0.000025345,0.000016502,-0.000052910,-0.002121816,0.000235816,0.000005528
103,0.454167,0.000051886,-0.000062600,0.019999996,1.000000000,-0.000001268,-0.000000719,0.000004229,0.000026315,0.000015652,-0.000053251,-0.002108245,0.000260679,0.000005674
104,0.458333,0.000051887,-0.000062600,0.019999994,0.999999940,-0.000001457,-0.000000883,0.000004239,0.000026604,0.000015725,-0.000053199,-0.002108130,0.000269045,0.000005171
105,0.462500,0.000051889,-0.000062599,0.019999998,0.999999940,-0.000001360,-0.000000591,0.000004274,0.000026629,0.000015673,-0.000053372,-0.002111706,0.000268841,0.000005394
106,0.466667,0.000051889,-0.000062601,0.019999996,1.000000000,-0.000001440,-0.000000867,0.000004224,0.000026368,0.000015535,-0.000053034,-0.002112818,0.000249245,0.000005549
107,0.470833,0.000051884,-0.000062598,0.019999996,1.000000000,-0.000001462,-0.000000923,0.000004236,0.000025360,0.000016665,-0.000053042,-0.002122333,0.000243126,0.000005444
108,0.475000,0.000051886,-0.000062600,0.019999994,1.000000000,-0.000001333,-0.000000656,0.000004269,0.000026827,0.000015427,-0.000053332,-0.002106231,0.000272145,0.000005390
109,0.479167,0.000051887,-0.000062599,0.019999994,0.999999940,-0.000001457,-0.000000899,0.000004231,0.000026448,0.000015748,-0.000053155,-0.002113675,0.000258941,0.000005316
110,0.483333,0.000051891,-0.000062598,0.019999998,0.999999940,-0.000001256,-0.000000440,0.000004264,0.000026999,0.000015479,-0.000053447,-0.002110202,0.000276745,0.000005246
111,0.487500,0.000051890,-0.000062600,0.019999996,1.000000000,-0.000001325,-0.000000740,0.000004240,0.000026276,0.000015630,-0.000053115,-0.002103293,0.000260758,0.000005605
112,0.491667,0.000051887,-0.000062600,0.019999994,1.000000000,-0.000001334,-0.000000808,0.000004228,0.000025915,0.000016039,-0.000053076,-0.002110792,0.000253598,0.000005527
113,0.495833,0.000051886,-0.000062600,0.019999996,1.000000000,-0.000001388,-0.000000830,0.000004251,0.000026197,0.000015909,-0.000053119,-0.002116327,0.000253077,0.000005384
114,0.500000,0.000051886,-0.000062598,0.019999994,1.000000000,-0.000001428,-0.000000875,0.000004247,0.000026320,0.000015995,-0.000053195,-0.002113409,0.000263279,0.000005207
115,0.504167,0.000051884,-0.000062600,0.019999994,1.000000000,-0.000001432,-0.000000942,0.000004234,0.000026115,0.000015735,-0.000053194,-0.002108016,0.000256507,0.000005764
116,0.508333,0.000051887,-0.000062599,0.019999992,1.000000000,-0.000001331,-0.000000653,0.000004267,0.000026883,0.000015645,-0.000053431,-0.002106483,0.000281378,0.000005162
117,0.512500,0.000051887,-0.000062598,0.019999994,0.999999940,-0.000001464,-0.000000888,0.000004230,0.000026487,0.000015784,-0.000053338,-0.002106100,0.000272865,0.000005396
118,0.516667,0.000051892,-0.000062599,0.019999998,0.999999940,-0.000001405,-0.000000549,0.000004275,0.000027329,0.000015074,-0.000053592,-0.002099410,0.000289076,0.000005453
119,0.520833,0.000051892,-0.000062599,0.019999996,0.999999940,-0.000001361,-0.000000693,0.000004237,0.000026331,0.000015762,-0.000053184,-0.002107905,0.000262726,0.000005464
120,0.525000,0.000051891,-0.000062600,0.020000000,0.999999940,-0.000001374,-0.000000764,0.000004236,0.000026242,0.000015730,-0.000053219,-0.002108549,0.000259747,0.000005640
121,0.529167,0.000051889,-0.000062599,0.019999998,0.999999940,-0.000001416,-0.000000795,0.000004235,0.000025995,0.000016041,-0.000053042,-0.002116720,0.000249014,0.000005401
122,0.533333,0.000051888,-0.000062601,0.019999998,0.999999940,-0.000001418,-0.000000868,0.000004244,0.000026214,0.000015748,-0.000053153,-0.002113860,0.000252577,0.000005590
123,0.537500,0.000051889,-0.000062600,0.019999996,0.999999940,-0.000001301,-0.000000595,0.000004278,0.000026665,0.000015730,-0.000053302,-0.002111189,0.000270130,0.000005205
124,0.541667,0.000051889,-0.000062600,0.019999998,1.000000000,-0.000001422,-0.000000838,0.000004241,0.000026313,0.000015725,-0.000053140,-0.002112832,0.000255318,0.000005495
125,0.545833,0.000051887,-0.000062601,0.019999994,1.000000000,-0.000001288,-0.000000777,0.000004228,0.000025881,0.000016081,-0.000053089,-0.002112019,0.000252871,0.000005530
126,0.550000,0.000051886,-0.000062601,0.019999992,0.999999940,-0.000001458,-0.000000954,0.000004250,0.000026195,0.000015901,-0.000052977,-0.002118886,0.000246832,0.000005256
127,0.554167,0.000051889,-0.000062599,0.019999996,0.999999940,-0.000001253,-0.000000502,0.000004272,0.000027033,0.000015499,-0.000053553,-0.002106818,0.000284051,0.000005281
128,0.558333,0.000051890,-0.000062599,0.019999998,1.000000000,-0.000001379,-0.000000747,0.000004246,0.000026561,0.000015645,-0.000053311,-0.002102460,0.000274132,0.000005436
129,0.562500,0.000051887,-0.000062600,0.019999994,1.000000000,-0.000001376,-0.000000825,0.000004234,0.000025935,0.000015939,-0.000053072,-0.002108650,0.000253571,0.000005616
130,0.566667,0.000051885,-0.000062599,0.019999994,1.000000000,-0.000001422,-0.000000856,0.000004245,0.000025951,0.000016147,-0.000053071,-0.002119640,0.000248365,0.000005359
131,0.570833,0.000051884,-0.000062600,0.019999994,1.000000000,-0.000001437,-0.000000916,0.000004220,0.000026252,0.000015776,-0.000053210,-0.002109437,0.000260117,0.000005566
132,0.575000,0.000051887,-0.000062599,0.019999996,1.000000000,-0.000001480,-0.000000748,0.000004277,0.000026856,0.000015589,-0.000053369,-0.002110281,0.000274001,0.000005204
133,0.579167,0.000051886,-0.000062600,0.019999994,1.000000000,-0.000001412,-0.000000701,0.000004265,0.000026163,0.000015810,-0.000053194,-0.002109292,0.000258432,0.000005625
134,0.583333,0.000051885,-0.000062599,0.019999994,1.000000000,-0.000001352,-0.000000863,0.000004227,0.000026094,0.000016025,-0.000053205,-0.002114014,0.000257805,0.000005472
135,0.587500,0.000051884,-0.000062598,0.019999992,1.000000000,-0.000001403,-0.000000889,0.000004237,0.000026255,0.000015973,-0.000053248,-0.002107780,0.000267907,0.000005352
136,0.591667,0.000051888,-0.000062598,0.019999994,1.000000000,-0.000001326,-0.000000575,0.000004271,0.000027149,0.000015286,-0.000053495,-0.002101039,0.000285968,0.000005322
137,0.595833,0.000051886,-0.000062599,0.019999994,0.999999940,-0.000001409,-0.000000857,0.000004247,0.000025986,0.000015900,-0.000053024,-0.002112864,0.000248537,0.000005565
138,0.600000,0.000051889,-0.000062599,0.019999998,0.999999940,-0.000001332,-0.000000542,0.000004281,0.000027139,0.000015297,-0.000053517,-0.002101819,0.000285682,0.000005344
139,0.604167,0.000051889,-0.000062598,0.019999996,1.000000000,-0.000001433,-0.000000812,0.000004231,0.000026300,0.000015869,-0.000053158,-0.002109401,0.000262570,0.000005350
140,0.608333,0.000051886,-0.000062598,0.019999996,1.000000000,-0.000001449,-0.000000868,0.000004242,0.000025877,0.000016044,-0.000053131,-0.002112444,0.000252416,0.000005625
141,0.612500,0.000051884,-0.000062600,0.019999994,1.000000000,-0.000001450,-0.000000939,0.000004241,0.000026050,0.000015864,-0.000053091,-0.002114590,0.000249128,0.000005594
142,0.616667,0.000051886,-0.000062599,0.019999994,1.000000000,-0.000001483,-0.000000780,0.000004275,0.000026679,0.000015705,-0.000053331,-0.002111593,0.000270181,0.000005248
143,0.620833,0.000051886,-0.000062597,0.019999992,1.000000000,-0.000001443,-0.000000710,0.000004263,0.000026245,0.000016045,-0.000053321,-0.002110963,0.000268109,0.000005374
144,0.625000,0.000051884,-0.000062601,0.019999994,1.000000000,-0.000001355,-0.000000885,0.000004226,0.000026143,0.000015542,-0.000053231,-0.002104928,0.000256164,0.000006002
145,0.629167,0.000051884,-0.000062600,0.019999994,1.000000000,-0.000001404,-0.000000917,0.000004224,0.000026377,0.000015862,-0.000053216,-0.002111297,0.000263877,0.000005313
146,0.633333,0.000051887,-0.000062600,0.019999996,1.000000000,-0.000001446,-0.000000749,0.000004270,0.000026914,0.000015456,-0.000053375,-0.002107772,0.000274674,0.000005298
147,0.637500,0.000051885,-0.000062600,0.019999992,1.000000000,-0.000001402,-0.000000881,0.000004220,0.000025906,0.000016079,-0.000053043,-0.002117106,0.000247300,0.000005481
148,0.641667,0.000051882,-0.000062600,0.019999994,1.000000000,-0.000001409,-0.000000950,0.000004220,0.000025855,0.000016054,-0.000053170,-0.002113712,0.000251788,0.000005683
149,0.645833,0.000051885,-0.000062599,0.019999994,1.000000000,-0.000001451,-0.000000782,0.000004277,0.000026877,0.000015614,-0.000053354,-0.002110514,0.000274573,0.000005133
150,0.650000,0.000051884,-0.000062601,0.019999992,1.000000000,-0.000001410,-0.000000906,0.000004227,0.000026218,0.000015683,-0.000053200,-0.002106882,0.000259122,0.000005713
151,0.654167,0.000051887,-0.000062599,0.019999994,1.000000000,-0.000001326,-0.000000602,0.000004284,0.000026877,0.000015606,-0.000053470,-0.002106601,0.000281029,0.000005252
152,0.658333,0.000051886,-0.000062599,0.019999992,0.999999940,-0.000001404,-0.000000893,0.000004236,0.000026176,0.000015858,-0.000053143,-0.002108692,0.000259392,0.000005499
153,0.662500,0.000051891,-0.000062599,0.019999996,0.999999940,-0.000001361,-0.000000541,0.000004269,0.000027413,0.000015190,-0.000053506,-0.002106221,0.000285444,0.000005136
154,0.666667,0.000051887,-0.000062600,0.019999996,1.000000000,-0.000001417,-0.000000845,0.000004246,0.000025639,0.000016038,-0.000053061,-0.002109704,0.000247102,0.000005857
155,0.670833,0.000051885,-0.000062600,0.019999992,1.000000000,-0.000001422,-0.000000914,0.000004232,0.000026066,0.000016006,-0.000053147,-0.002112413,0.000256764,0.000005456
156,0.675000,0.000051885,-0.000062600,0.019999994,1.000000000,-0.000001478,-0.000000929,0.000004241,0.000026355,0.000015785,-0.000053284,-0.002111668,0.000262566,0.000005503
157,0.679167,0.000051886,-0.000062598,0.019999994,1.000000000,-0.000001369,-0.000000647,0.000004275,0.000026468,0.000015933,-0.000053377,-0.002110487,0.000272794,0.000005279
